"scenario","region","technology","year","mean_Jobs","min_Jobs","max_Jobs"
"CAP-A-MAIN","Africa_Eastern","BECCS",2025,137.20183176,11.43348598,343.0045794
"CAP-A-MAIN","Africa_Eastern","BECCS",2030,1432.2333912,119.3527826,3580.583478
"CAP-A-MAIN","Africa_Eastern","BECCS",2035,8894.74854,741.229045,22236.87135
"CAP-A-MAIN","Africa_Eastern","BECCS",2040,19459.184856,1621.598738,48647.96214
"CAP-A-MAIN","Africa_Eastern","BECCS",2045,36874.515924,3072.876327,92186.28981
"CAP-A-MAIN","Africa_Eastern","BECCS",2050,93579.34644,7798.27887,233948.3661
"CAP-A-MAIN","Africa_Eastern","BECCS",2055,146328.7014,12194.05845,365821.7535
"CAP-A-MAIN","Africa_Eastern","BECCS",2060,238442.71464,19870.22622,596106.7866
"CAP-A-MAIN","Africa_Eastern","BECCS",2065,298821.92316,24901.82693,747054.8079
"CAP-A-MAIN","Africa_Eastern","BECCS",2070,362463.1482,30205.26235,906157.8705
"CAP-A-MAIN","Africa_Eastern","BECCS",2075,427442.97492,35620.24791,1068607.4373
"CAP-A-MAIN","Africa_Eastern","BECCS",2080,485526.9348,40460.5779,1213817.337
"CAP-A-MAIN","Africa_Eastern","BECCS",2085,530697.0408,44224.7534,1326742.602
"CAP-A-MAIN","Africa_Eastern","BECCS",2090,561931.08,46827.59,1404827.7
"CAP-A-MAIN","Africa_Eastern","BECCS",2095,582366.5376,48530.5448,1455916.344
"CAP-A-MAIN","Africa_Eastern","BECCS",2100,602040.726,50170.0605,1505101.815
"CAP-A-MAIN","Africa_Eastern","DAC",2025,1732.43748,1732.43748,1732.43748
"CAP-A-MAIN","Africa_Eastern","DAC",2030,7515.454161,7515.454161,7515.454161
"CAP-A-MAIN","Africa_Eastern","DAC",2035,18132.50826,18132.50826,18132.50826
"CAP-A-MAIN","Africa_Eastern","DAC",2040,28168.94058,28168.94058,28168.94058
"CAP-A-MAIN","Africa_Eastern","DAC",2045,40424.38461,40424.38461,40424.38461
"CAP-A-MAIN","Africa_Eastern","DAC",2050,60857.64201,60857.64201,60857.64201
"CAP-A-MAIN","Africa_Eastern","DAC",2055,96319.47552,96319.47552,96319.47552
"CAP-A-MAIN","Africa_Eastern","DAC",2060,187814.5725,187814.5725,187814.5725
"CAP-A-MAIN","Africa_Eastern","DAC",2065,257170.377,257170.377,257170.377
"CAP-A-MAIN","Africa_Eastern","DAC",2070,334411.6983,334411.6983,334411.6983
"CAP-A-MAIN","Africa_Eastern","DAC",2075,437924.5077,437924.5077,437924.5077
"CAP-A-MAIN","Africa_Eastern","DAC",2080,574831.9527,574831.9527,574831.9527
"CAP-A-MAIN","Africa_Eastern","DAC",2085,752363.8905,752363.8905,752363.8905
"CAP-A-MAIN","Africa_Eastern","DAC",2090,969829.4583,969829.4583,969829.4583
"CAP-A-MAIN","Africa_Eastern","DAC",2095,1219515.855,1219515.855,1219515.855
"CAP-A-MAIN","Africa_Eastern","DAC",2100,1484903.979,1484903.979,1484903.979
"CAP-A-MAIN","Africa_Eastern","OEW",2025,51.83348504,51.83348504,51.83348504
"CAP-A-MAIN","Africa_Eastern","OEW",2030,504.7434816,504.7434816,504.7434816
"CAP-A-MAIN","Africa_Eastern","OEW",2035,4473.109276,4473.109276,4473.109276
"CAP-A-MAIN","Africa_Eastern","OEW",2040,11651.96584,11651.96584,11651.96584
"CAP-A-MAIN","Africa_Eastern","OEW",2045,19036.8638,19036.8638,19036.8638
"CAP-A-MAIN","Africa_Eastern","OEW",2050,35544.15766,35544.15766,35544.15766
"CAP-A-MAIN","Africa_Eastern","OEW",2055,14136.06498,14136.06498,14136.06498
"CAP-A-MAIN","Africa_Eastern","OEW",2060,24093.36344,24093.36344,24093.36344
"CAP-A-MAIN","Africa_Eastern","OEW",2065,31113.98162,31113.98162,31113.98162
"CAP-A-MAIN","Africa_Eastern","OEW",2070,36376.64,36376.64,36376.64
"CAP-A-MAIN","Africa_Eastern","OEW",2075,42353.70332,42353.70332,42353.70332
"CAP-A-MAIN","Africa_Eastern","OEW",2080,50316.59382,50316.59382,50316.59382
"CAP-A-MAIN","Africa_Eastern","OEW",2085,59821.09112,59821.09112,59821.09112
"CAP-A-MAIN","Africa_Eastern","OEW",2090,70066.39576,70066.39576,70066.39576
"CAP-A-MAIN","Africa_Eastern","OEW",2095,79855.5256,79855.5256,79855.5256
"CAP-A-MAIN","Africa_Eastern","OEW",2100,88087.2072,88087.2072,88087.2072
"CAP-A-MAIN","Africa_Eastern","TEW",2025,3.077955122,3.077955122,3.077955122
"CAP-A-MAIN","Africa_Eastern","TEW",2030,33.384368,33.384368,33.384368
"CAP-A-MAIN","Africa_Eastern","TEW",2035,282.5760864,282.5760864,282.5760864
"CAP-A-MAIN","Africa_Eastern","TEW",2040,678.1038402,678.1038402,678.1038402
"CAP-A-MAIN","Africa_Eastern","TEW",2045,1207.037054,1207.037054,1207.037054
"CAP-A-MAIN","Africa_Eastern","TEW",2050,3444.273754,3444.273754,3444.273754
"CAP-A-MAIN","Africa_Eastern","TEW",2055,5697.205214,5697.205214,5697.205214
"CAP-A-MAIN","Africa_Eastern","TEW",2060,8001.98072,8001.98072,8001.98072
"CAP-A-MAIN","Africa_Eastern","TEW",2065,8617.96338,8617.96338,8617.96338
"CAP-A-MAIN","Africa_Eastern","TEW",2070,9000.50482,9000.50482,9000.50482
"CAP-A-MAIN","Africa_Eastern","TEW",2075,9371.0185,9371.0185,9371.0185
"CAP-A-MAIN","Africa_Eastern","TEW",2080,9740.35874,9740.35874,9740.35874
"CAP-A-MAIN","Africa_Eastern","TEW",2085,10082.92988,10082.92988,10082.92988
"CAP-A-MAIN","Africa_Eastern","TEW",2090,10380.25024,10380.25024,10380.25024
"CAP-A-MAIN","Africa_Eastern","TEW",2095,10620.95212,10620.95212,10620.95212
"CAP-A-MAIN","Africa_Eastern","TEW",2100,10808.33582,10808.33582,10808.33582
"CAP-A-MAIN","Africa_Northern","BECCS",2025,549.7991772,45.8165981,1374.497943
"CAP-A-MAIN","Africa_Northern","BECCS",2030,4487.439912,373.953326,11218.59978
"CAP-A-MAIN","Africa_Northern","BECCS",2035,15199.905684,1266.658807,37999.76421
"CAP-A-MAIN","Africa_Northern","BECCS",2040,27264.130332,2272.010861,68160.32583
"CAP-A-MAIN","Africa_Northern","BECCS",2045,46084.94916,3840.41243,115212.3729
"CAP-A-MAIN","Africa_Northern","BECCS",2050,107907.04884,8992.25407,269767.6221
"CAP-A-MAIN","Africa_Northern","BECCS",2055,154083.08628,12840.25719,385207.7157
"CAP-A-MAIN","Africa_Northern","BECCS",2060,212414.34864,17701.19572,531035.8716
"CAP-A-MAIN","Africa_Northern","BECCS",2065,227461.0764,18955.0897,568652.691
"CAP-A-MAIN","Africa_Northern","BECCS",2070,240512.6628,20042.7219,601281.657
"CAP-A-MAIN","Africa_Northern","BECCS",2075,257221.86168,21435.15514,643054.6542
"CAP-A-MAIN","Africa_Northern","BECCS",2080,273990.46596,22832.53883,684976.1649
"CAP-A-MAIN","Africa_Northern","BECCS",2085,291786.1236,24315.5103,729465.309
"CAP-A-MAIN","Africa_Northern","BECCS",2090,306260.79936,25521.73328,765651.9984
"CAP-A-MAIN","Africa_Northern","BECCS",2095,318566.07792,26547.17316,796415.1948
"CAP-A-MAIN","Africa_Northern","BECCS",2100,324847.20888,27070.60074,812118.0222
"CAP-A-MAIN","Africa_Northern","DAC",2025,4498.242894,4498.242894,4498.242894
"CAP-A-MAIN","Africa_Northern","DAC",2030,17518.87248,17518.87248,17518.87248
"CAP-A-MAIN","Africa_Northern","DAC",2035,60927.16833,60927.16833,60927.16833
"CAP-A-MAIN","Africa_Northern","DAC",2040,97039.16094,97039.16094,97039.16094
