"scenario","region","technology","mean_Jobs","min_Jobs","max_Jobs"
"CAP-A-MAIN","Africa_Eastern","BECCS",4396439.01250296,366369.91770858,10991097.5312574
"CAP-A-MAIN","Africa_Eastern","DAC",6471917.133621,6471917.133621,6471917.133621
"CAP-A-MAIN","Africa_Eastern","OEW",567483.24040264,567483.24040264,567483.24040264
"CAP-A-MAIN","Africa_Eastern","TEW",97969.952491722,97969.952491722,97969.952491722
"CAP-A-MAIN","Africa_Northern","BECCS",2808636.9846252,234053.0820521,7021592.461563
"CAP-A-MAIN","Africa_Northern","DAC",5452647.894204,5452647.894204,5452647.894204
"CAP-A-MAIN","Africa_Northern","OEW",1331605.6622562,1331605.6622562,1331605.6622562
"CAP-A-MAIN","Africa_Northern","TEW",64664.3741451,64664.3741451,64664.3741451
"CAP-A-MAIN","Africa_Southern","BECCS",2156760.8221428,179730.0685119,5391902.055357
"CAP-A-MAIN","Africa_Southern","DAC",4664932.4838216,4664932.4838216,4664932.4838216
"CAP-A-MAIN","Africa_Southern","OEW",1088408.86744638,1088408.86744638,1088408.86744638
"CAP-A-MAIN","Africa_Southern","TEW",51983.51235094,51983.51235094,51983.51235094
"CAP-A-MAIN","Africa_Western","BECCS",9482154.9899322,790179.58249435,23705387.4748305
"CAP-A-MAIN","Africa_Western","DAC",21391966.178421,21391966.178421,21391966.178421
"CAP-A-MAIN","Africa_Western","OEW",4480020.5097702,4480020.5097702,4480020.5097702
"CAP-A-MAIN","Africa_Western","TEW",311716.98300494,311716.98300494,311716.98300494
"CAP-A-MAIN","Argentina","BECCS",680202.37071816,56683.53089318,1700505.9267954
"CAP-A-MAIN","Argentina","DAC",2375230.101381,2375230.101381,2375230.101381
"CAP-A-MAIN","Argentina","OEW",349476.7397914,349476.7397914,349476.7397914
"CAP-A-MAIN","Argentina","TEW",76939.85568986,76939.85568986,76939.85568986
"CAP-A-MAIN","Australia_NZ","BECCS",1777925.83128876,148160.48594073,4444814.5782219
"CAP-A-MAIN","Australia_NZ","DAC",8877374.77071,8877374.77071,8877374.77071
"CAP-A-MAIN","Australia_NZ","OEW",1132707.4282422,1132707.4282422,1132707.4282422
"CAP-A-MAIN","Australia_NZ","TEW",81744.10702028,81744.10702028,81744.10702028
