"scenario","region","mean_Jobs","min_Jobs","max_Jobs"
"CAP-A-MAIN","Africa_Eastern",11533809.3390183,7503740.24422394,18128467.8577728
"CAP-A-MAIN","Africa_Northern",9657554.9152305,7082971.0126574,13870510.3921683
"CAP-A-MAIN","Africa_Southern",7962085.68576172,5985054.93213082,11197226.9189759
"CAP-A-MAIN","Africa_Western",35665858.6611283,26973883.2536905,49889091.1460266
"CAP-A-MAIN","Argentina",3481849.06758042,2858330.22775544,4502152.62365766
"CAP-A-MAIN","Australia_NZ",11869752.1372612,10239986.7919132,14536640.8841944
"CAP-A-MAIN","Brazil",15357090.5851042,13049900.7079692,19132492.2022342
"CAP-A-MAIN","Canada",10540419.6475716,8375967.61500145,14082250.2463229
"CAP-A-MAIN","Central America and Caribbean",4589226.75998868,3187642.18412468,6882728.79322068
"CAP-A-MAIN","Central Asia",4119941.28655762,3272978.52981576,5505880.3430443
"CAP-A-MAIN","China",76653918.5544712,58075543.2297862,107054896.358501
"CAP-A-MAIN","Colombia",4099381.92902168,3242752.30898395,5501139.48908342
"CAP-A-MAIN","EU-12",9088023.21961492,7111379.26554442,12322531.5080939
"CAP-A-MAIN","EU-15",89168424.1030442,74559906.1176752,113073271.715466
"CAP-A-MAIN","Europe_Eastern",1709444.88402734,1333920.79098665,2323938.85445756
"CAP-A-MAIN","Europe_Non_EU",10831268.2340487,9155235.29650164,13573867.5863985
"CAP-A-MAIN","European Free Trade Association",6223790.43794578,4934101.54312508,8334190.44765238
"CAP-A-MAIN","India",53430939.8378292,35747788.6034212,82367005.4941332
"CAP-A-MAIN","Indonesia",14690253.449857,10177305.4021797,22075077.5278744
"CAP-A-MAIN","Japan",19511908.1884612,16395896.6074976,24610836.230038
"CAP-A-MAIN","Mexico",10522451.5596709,7636197.09031882,15245413.4186107
"CAP-A-MAIN","Middle East",23444526.0346098,17708297.3150742,32831082.1211226
"CAP-A-MAIN","Pakistan",5181399.5235694,3208238.96269889,8410207.71408478
"CAP-A-MAIN","Russia",9217507.13546998,6722385.71513558,13300433.0960172
"CAP-A-MAIN","South Africa",3171762.64692828,2267061.32969351,4652182.98422154
"CAP-A-MAIN","South America_Northern",849091.428943924,618968.344571864,1225656.4760982
"CAP-A-MAIN","South America_Southern",6717407.40106938,5148051.98284703,9285443.53997868
"CAP-A-MAIN","South Asia",7451963.71735282,5146766.39927642,11224104.783296
"CAP-A-MAIN","South Korea",7047221.81498576,6051465.88414796,8676640.61090216
"CAP-A-MAIN","Southeast Asia",20785583.6048768,14676351.2122321,30782509.3382954
"CAP-A-MAIN","Taiwan",2111115.8865804,1477949.4786635,3147206.3722626
