"scenario","region","year","mean_Jobs","min_Jobs","max_Jobs"
"CAP-A-MAIN","Africa_Eastern",2025,1924.550751922,1798.782406142,2130.353499562
"CAP-A-MAIN","Africa_Eastern",2030,9485.8154018,8172.9347932,11634.1654886
"CAP-A-MAIN","Africa_Eastern",2035,31782.9421624,23629.4226674,45125.0649724
"CAP-A-MAIN","Africa_Eastern",2040,59958.1951162,42120.6089982,89146.9724002
"CAP-A-MAIN","Africa_Eastern",2045,97542.801388,63741.161791,152854.575274
"CAP-A-MAIN","Africa_Eastern",2050,193425.419864,107644.352294,333794.439524
"CAP-A-MAIN","Africa_Eastern",2055,262481.447114,128346.804164,481974.499214
"CAP-A-MAIN","Africa_Eastern",2060,458352.6313,239780.14288,816016.70326
"CAP-A-MAIN","Africa_Eastern",2065,595724.24516,321804.14893,1043957.1299
"CAP-A-MAIN","Africa_Eastern",2070,742251.99132,409994.10547,1285946.71362
"CAP-A-MAIN","Africa_Eastern",2075,917092.20444,525269.47743,1558256.66682
"CAP-A-MAIN","Africa_Eastern",2080,1120415.84006,675349.48316,1848706.24226
"CAP-A-MAIN","Africa_Eastern",2085,1352964.9523,866492.6649,2149010.5135
"CAP-A-MAIN","Africa_Eastern",2090,1612207.1843,1097103.6943,2455103.8043
"CAP-A-MAIN","Africa_Eastern",2095,1892358.87032,1358522.87752,2765908.67672
"CAP-A-MAIN","Africa_Eastern",2100,2185840.24802,1633969.58252,3088901.33702
"CAP-A-MAIN","Africa_Northern",2025,5386.2395803,4882.2570012,6210.9383461
"CAP-A-MAIN","Africa_Northern",2030,24697.7239102,20584.2373242,31428.8837782
"CAP-A-MAIN","Africa_Northern",2035,90286.952492,76353.705615,113086.811018
"CAP-A-MAIN","Africa_Northern",2040,159178.470788,134186.351317,200074.666286
"CAP-A-MAIN","Africa_Northern",2045,224641.92347,182397.38674,293769.34721
"CAP-A-MAIN","Africa_Northern",2050,395614.008974,296699.214204,557474.582234
"CAP-A-MAIN","Africa_Northern",2055,419943.95992,278701.13083,651068.58934
"CAP-A-MAIN","Africa_Northern",2060,662625.72656,467912.57364,981247.24952
"CAP-A-MAIN","Africa_Northern",2065,770019.7621,561513.7754,1111211.3767
"CAP-A-MAIN","Africa_Northern",2070,851191.30066,630721.35976,1211960.29486
"CAP-A-MAIN","Africa_Northern",2075,918925.836452,683139.129912,1304758.628972
"CAP-A-MAIN","Africa_Northern",2080,971169.908148,720011.981018,1382155.607088
"CAP-A-MAIN","Africa_Northern",2085,1006113.381872,738642.768572,1443792.567272
"CAP-A-MAIN","Africa_Northern",2090,1032206.536428,751467.470348,1491597.735468
"CAP-A-MAIN","Africa_Northern",2095,1051091.967796,759073.063036,1528941.084676
"CAP-A-MAIN","Africa_Northern",2100,1074461.21608,776684.60794,1561732.0294
"CAP-A-MAIN","Africa_Southern",2025,1301.79218732,1173.98440282,1510.93219832
"CAP-A-MAIN","Africa_Southern",2030,5890.0644784,4787.323505,7694.5497076
"CAP-A-MAIN","Africa_Southern",2035,20250.046746,15603.869738,27852.88185
"CAP-A-MAIN","Africa_Southern",2040,37103.564078,28393.313309,51356.7017
"CAP-A-MAIN","Africa_Southern",2045,60598.86182,46620.518177,83472.515054
"CAP-A-MAIN","Africa_Southern",2050,120306.224602,85257.849009,177658.111936
"CAP-A-MAIN","Africa_Southern",2055,196866.004616,127082.994616,311056.384616
"CAP-A-MAIN","Africa_Southern",2060,336659.598636,222863.274456,522871.765476
"CAP-A-MAIN","Africa_Southern",2065,438929.33904,303680.58815,660245.47686
"CAP-A-MAIN","Africa_Southern",2070,549911.90078,394349.84006,804468.00014
"CAP-A-MAIN","Africa_Southern",2075,676600.538882,499196.396032,966898.227182
"CAP-A-MAIN","Africa_Southern",2080,811688.161792,609909.983322,1141870.635652
"CAP-A-MAIN","Africa_Southern",2085,951283.649804,723053.273474,1324751.538344
